t-SNE1,t-SNE2,Label
17.21088,4.8456798,2
-10.97394,28.542631,1
-19.682379,-17.740412,1
-0.023431942,7.9333806,1
-11.618109,-21.604507,3
-3.1976328,-16.777914,2
12.440676,24.677528,3
-2.344763,-12.939517,0
16.292229,16.732567,0
-15.523403,-1.3448873,0
-10.672344,-4.604566,3
3.3199613,-5.9024673,0
1.0049461,-25.85266,3
7.007895,-37.156883,2
16.134186,-20.075232,3
-15.009333,-31.875933,0
-6.75165,21.408318,3
-1.2943906,-20.92894,3
-29.477695,-4.354014,2
9.5804205,16.512774,3
8.409404,-9.917028,2
-29.308176,14.187076,0
12.010391,12.525873,1
-18.431221,9.294052,0
0.68052465,-4.780196,3
-16.436998,15.098872,0
-25.65832,-9.910815,2
15.59936,12.705265,1
7.2592797,12.327974,0
-2.02901,24.259394,3
6.7522526,-25.329271,2
9.61957,-4.8113074,2
6.965893,-30.140322,3
-10.526353,-22.29315,1
-6.3863406,-23.783623,2
13.38396,-26.965172,2
-8.064346,27.03342,1
-8.944204,-13.392158,1
-8.540187,9.749618,3
-16.724201,8.389178,3
-11.196887,-10.375899,2
-7.9529414,14.444529,0
-19.106386,6.9660287,2
8.306435,-30.089796,2
10.772945,-27.87401,1
-2.850114,-24.926748,1
8.562846,-24.527716,2
-24.433147,20.161507,3
-2.904664,12.415253,1
-14.5528555,16.925865,3
-2.1839676,-1.1842015,0
-17.360203,3.4367533,3
27.40083,2.3658412,1
-15.117766,-20.740602,2
-16.482456,-17.84521,3
17.89463,-10.007537,0
17.842627,-26.090965,3
10.180152,-9.008488,1
-15.399413,-10.478875,0
13.855891,12.747588,1
9.00713,14.201264,1
-4.3577595,18.614647,3
-13.400391,16.579573,0
-11.941652,24.615751,0
18.667309,-5.9982834,3
-29.075224,13.243384,1
7.973728,27.08734,2
19.671473,-26.289768,3
-8.45631,4.936082,3
-0.56065446,34.61774,2
-10.292256,-11.106622,2
-29.144615,-8.268782,3
-23.012766,-16.629356,1
19.488617,-13.94027,2
-16.417797,6.5320454,2
11.0492,14.0776205,1
11.517431,-4.3067446,2
23.53172,-11.331242,2
-25.740023,0.5772967,3
28.051254,10.013686,0
-5.1235433,18.438553,3
15.553843,-23.607822,0
-30.317085,15.933693,3
11.053854,-22.54411,3
7.1415267,8.757648,3
-10.8289,-28.465834,2
-12.244577,12.137823,0
13.754445,4.770496,1
-25.891771,-11.668504,1
23.013405,-7.0864844,0
-1.4744464,4.8839593,3
5.5507946,26.738104,3
-25.352718,-3.5242598,3
-9.465948,-18.908075,2
-8.208939,-5.2932014,1
12.859186,-34.44215,1
11.139519,-32.94483,0
-19.147972,-21.053383,0
15.407843,20.463285,0
-1.2711416,28.64157,3
3.6721215,17.198603,2
-16.54287,-26.645847,1
9.944205,15.639217,0
-8.564313,6.439578,3
-8.581692,23.76145,3
-6.078737,27.218664,3
-10.863017,16.182192,2
-18.100986,-9.785853,1
5.401758,1.138854,0
1.2527792,-25.794308,3
-23.620619,3.4148903,0
13.100079,11.4977665,3
-20.668333,1.1367675,2
3.251709,-6.043457,3
-16.560713,-24.333925,2
-22.4162,-16.575863,1
15.958376,-1.9736,3
-14.347434,-31.392452,3
17.88586,25.083601,1
35.575943,-0.21995054,1
-13.639687,-24.33785,2
6.009539,-35.466324,2
1.5951127,-24.930998,0
-23.917458,18.814697,3
-21.473158,11.628699,2
12.382766,-35.245647,1
0.111088224,23.858597,3
-0.66028273,-16.85724,1
10.721239,10.710357,3
10.972573,-7.525056,3
-14.914451,-18.063461,2
-12.4339485,-10.812448,0
25.885468,-17.207783,0
-23.958202,9.777949,1
-16.964495,1.8211632,0
-12.117549,21.135578,0
-0.3421069,-36.46412,0
11.70175,-7.6814833,3
-26.34875,6.5043035,3
-20.220348,4.4988647,2
15.642944,22.003359,0
-17.73217,-20.859268,2
5.7638474,-2.4100099,1
4.409688,9.244311,3
-8.169591,23.356087,3
-15.396075,-31.316063,0
-12.554389,-13.37163,3
-30.258457,1.4557419,0
28.88605,1.786356,1
-9.680724,19.37634,3
-0.29421964,13.767814,0
-19.640594,-5.011507,3
-9.22119,10.681682,3
-15.57058,19.652584,1
4.3842864,19.308262,3
-7.5915847,-8.986003,2
3.2754679,15.056657,3
4.0993624,-6.44584,3
2.8214514,-32.0185,0
-11.677724,-30.006327,0
30.035467,11.472583,1
